company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored
$AVY INC,Computers,avy.com,NEW YORK,NY,10012,(917) 385-6425,,,Laura Bailyn,,1475000.0,1475000.0,Pre-Seed,2016-11-14,,,,,
011235813 INC,Other,011235813.com,SHERMAN OAKS,CA,91403,(818) 472-9616,2023.0,2.0,"Brandon Brunet, Edward Livingston, Eileen Lyon, Tanner Philp",,8499999.0,1500000.0,Pre-Seed,2024-05-12,,,,,
0XCORD INC,Other,0xcord.com,NEW YORK,NY,10003,(720) 278-4066,2021.0,4.0,"Alex Napheys, Penn Gilead",,3500000.0,3500000.0,Pre-Seed,2022-04-07,,,,,
0XESSENTIAL INC,Other,0xessential.com,BROOKLYN,NY,11216,(845) 594-6543,2021.0,4.0,Samuel Bauch,,1105000.0,1105000.0,Pre-Seed,2022-01-21,,,,,
1 KICKER HOLDINGS LLC,Business Services,1kicker.com,SOUTH LAKE,TX,76092,(847) 972-0000,2022.0,3.0,Anil K Sunkara,,,,,,,,,,
1 N MAIN LLC,Other,,NORTHBROOK,IL,60062,(773) 424-5829,2022.0,3.0,"Robert Sadoff, a Delaware limited liabililty company SREH Oshkosh Manager, LLC",,10350000.0,10350000.0,Series A,2023-02-23,,,,,
1 TRUE HEALTH CARE MANAGEMENT INC,Business Services,,AUSTIN,TX,78701,(385) 377-9352,2020.0,5.0,"Charles Owen, Shawn Smith",,1500000.0,1500000.0,Pre-Seed,2024-02-16,,,,,
1-10 LOGISTICS CENTER LLC,Other,,IRVINE,CA,92614,(949) 417-4463,2020.0,5.0,ED MORRELL,,,,,,,,,,
10 PERCENT HAPPIER INC,Other Technology,10percenthappier.com,BOSTON,MA,2111,(415) 279-9893,,,"Benjamin Rubin, Derek Haswell","Bo Shao, Dan Harris, Derek Haswell, Eric Paley, Lee Hower",9153494.0,5000000.0,Seed,2019-09-25,,,,,
100 THIEVES LLC,Other,100thieves.com,LOS ANGELES,CA,90045,(424) 298-0196,2017.0,8.0,Matthew Haag,"Jake Cohen, John Robinson, Josh Dienstag, Michael Sepso, Scott Braun",35950000.0,35950000.0,Series B,2019-07-03,,,,,
10000 INC,Other,10000.io,SAN FRANCISCO,CA,94114,(214) 394-2683,2018.0,7.0,"James Beshara, William Hicks","Dayton Miller, Justin Kan, Matt Wan",17996101.0,15996101.0,Series A,2025-08-15,,,,,
1000MUSEUMS INC,Other Technology,1000museums.com,BELLEVUE,WA,98005,(425) 679-6099,,,"BRENDAN BURNS, KEVIN S. MCPHILLIPS, KIRSTEN SODERLIND, Kevin S. McPhillips, STEPHEN H. MARKS, Stephen H. Marks","Brian Model, CHRISTOPHER J. STEELE, DIANE LOEB, Diane Loeb, GREGG BENNETT, Mitesh S. Lakhani, PAUL J. TUCKER, PAUL TUCKER, WALTER BERNHEIMER",6618999.0,1000000.0,Pre-Seed,2015-11-04,,,,,
100INSIGHTS INC,Other Technology,100insights.com,CHICAGO,IL,60603,(630) 827-9204,2014.0,11.0,"Abby Anderson, Matt Ostanik, Mollie Bodensteiner, Steve Adamson, Steve Will","Bruce Lehrman, Paul Hayes",3000000.0,3000000.0,Pre-Seed,2017-11-30,,,,,
101 EDU INC,Other Technology,101-edu.com,NEW YORK,NY,10280,(917) 587-7883,2016.0,9.0,"Igor Belyayev, Justin Weinberg","Bradley McBride, Igor Belyayev, James Caras, Ned Renzi",7874154.0,4599998.0,Seed,2020-12-18,,,,,
101 STUDIOS LLC,Other,101-studios.com,Beverly Hills,CA,90210,(424) 388-0900,2018.0,7.0,"David Glasser, David Hutkin, Heather Phillips, Michele Newman, Niels Schuurmans","Carla Christofferson, David Barnes, Laurie Ann Goldman, Marc Leder, Mark Styslinger",14430000.0,14430000.0,Series A,2020-03-02,,,,,
1031 CF BRIDGE FUND LLC,Investing,,LAKE FOREST,CA,92630,(844) 533-1031,2019.0,6.0,"1031 Crowdfunding E. LLC, Edward E. Fernandez",,50000000.0,25000000.0,Series A,2021-01-20,,,,,
1031CF BRIDGE FUND II LLC,Investing,,IRVINE,CA,92614,(844) 533-1031,2022.0,3.0,"1031 Crowdfunding E. LLC, 1031CF Properties E. LLC, DNS Capital E. LLC, Peter E. Elwell, Wade E. Curtis",,,,,,,,,,
1034 WESTMORELAND LLC,Other,,ALHAMBRA,CA,91803,(949) 296-7502,2023.0,2.0,"Andy O Choi, Jamie O Sanchez, Jorge O Contreras",,,,,,,,,,
