onet_soc_code,bls_soc_code,title,description,job_zone,alternate_title_count,alternate_titles_sample,oews_year,employment,annual_mean_wage,annual_median_wage,hourly_mean_wage,hourly_median_wage,employment_prse,ability_originality_lv,ability_problem_sensitivity_lv,ability_deductive_reasoning_lv,ability_inductive_reasoning_lv,ability_selective_attention_lv,ability_oral_comprehension_lv,skill_programming_lv,skill_critical_thinking_lv,skill_judgment_decision_making_lv,skill_complex_problem_solving_lv,skill_systems_analysis_lv,skill_systems_evaluation_lv,skill_social_perceptiveness_lv,skill_active_listening_lv,skill_persuasion_lv,skill_instructing_lv,skill_service_orientation_lv,cognitive_pivot_score
11-1011.00,11-1011,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",5,75,Aeronautics Commission Director; Agency Owner; Agricultural Services Director; Arts and Humanities Council Director; Bank President; Bureau Chief; Business Development Executive (BD Executive); Business Development Officer (BD Officer),2024,211850.0,262930.0,206420.0,126.41,99.24,1.2,4.25,4.88,4.75,4.88,3.12,4.88,1.0,4.75,5.38,4.88,5.12,5.0,4.25,4.75,4.75,3.88,3.38,4.877
11-1011.03,11-1011,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",5,25,Chief Environmental Commitment Officer (CECO); Chief Green Officer (CGO); Chief Sustainability Officer (CSO); Climate Change and Sustainability Manager; Corporate Sustainability Manager; Corporate Sustainability Process Manager; CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President); Energy and Sustainability Manager,2024,211850.0,262930.0,206420.0,126.41,99.24,1.2,4.0,4.12,4.75,4.12,3.0,4.62,1.12,4.12,4.0,4.12,4.0,4.0,3.88,4.0,4.0,3.38,3.25,4.137
11-1021.00,11-1021,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",4,74,Area Manager; Boards and Commissions Director; Business Coordinator; Business Manager; Center Manager; Chief Administrative Officer (CAO); Corporate Manager; Department Manager,2024,3584420.0,133120.0,102950.0,64.0,49.5,0.4,3.5,4.12,4.12,3.5,2.88,4.12,0.62,3.88,3.88,3.88,3.12,3.25,4.0,4.12,3.75,3.25,3.12,3.694
11-1031.00,11-1031,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",4,26,Alderman; Assembly Member; Assembly Person; Assemblyman; Assemblywoman; City Alderman; City Council Member; City Councilman,2024,26510.0,67390.0,44810.0,nan,nan,3.9,,,,,,,,,,,,,,,,,,
11-2011.00,11-2011,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",4,47,Account Director; Account Executive; Account Manager; Account Specialist; Advertising Account Executive (Ad Account Executive); Advertising Account Manager (Ad Account Manager); Advertising Agency Manager (Ad Agency Manager); Advertising Campaign Manager (Ad Campaign Manager),2024,21100.0,149270.0,126960.0,71.76,61.04,4.6,3.88,4.0,4.5,3.88,2.75,4.38,0.75,4.12,4.0,3.88,3.12,3.75,4.0,4.12,3.88,3.0,3.25,3.903
11-2021.00,11-2021,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",4,40,Account Supervisor; Brand Manager; Business Developer; Business Development Director; Business Development Manager; Category Manager; Channel Manager; Commercial Director,2024,384980.0,171520.0,161030.0,82.46,77.42,0.8,4.0,3.88,4.38,3.88,2.88,4.38,1.25,4.25,4.0,3.88,3.75,3.75,4.0,4.12,4.38,3.5,3.25,3.974
11-2022.00,11-2022,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",4,49,Account Manager; Area Sales Manager; Area Supervisor; BD Director (Business Development Director); BD Executive (Business Development Executive); BD Manager (Business Development Manager); Business Developer; Channel Manager,2024,603710.0,160930.0,138060.0,77.37,66.38,0.8,3.88,3.88,4.0,4.0,2.75,4.38,0.75,4.0,4.0,3.88,3.88,3.88,4.0,4.0,4.0,3.88,3.88,3.933
11-2032.00,11-2032,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",4,24,Business Development Director; Campaign Manager; Communications Director; Communications Manager; Community Director; Community Engagement Manager; Community Manager; Community Relations Director,2024,76060.0,163520.0,138520.0,78.61,66.6,1.3,,,,,,,,,,,,,,,,,,
11-2033.00,11-2033,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",4,27,Account Manager; Account Supervisor; Advancement Director; Annual Giving Director; Campaign Manager; Canvass Director; Community Manager; Development Director,2024,36920.0,137290.0,123480.0,66.01,59.36,1.6,3.88,3.62,4.12,3.25,2.38,4.12,1.0,3.88,3.88,3.75,2.75,3.25,4.12,4.0,3.5,2.38,3.5,3.598
11-3012.00,11-3012,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",3,17,Administration Director; Administrative Coordinator; Administrative Director; Administrative Manager; Administrative Officer; Administrative Services Manager; Administrator; Business Administrator,2024,254140.0,126030.0,108390.0,60.59,52.11,0.7,3.12,3.75,3.88,3.38,3.0,4.0,0.62,3.88,3.12,3.12,3.12,3.12,3.75,4.0,3.12,3.25,3.25,3.388
