ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0002074476-25-000001	021-550389               	30-JUN-2025		X0708	D	LIVE		
0002075199-25-000001	021-550388               	30-JUN-2025		X0708	D	LIVE		
0001999371-25-008565	021-550387               	30-JUN-2025	6798	X0708	D	LIVE		
0002075352-25-000001	021-550386               	30-JUN-2025		X0708	D	LIVE		
0002068759-25-000001	021-550385               	30-JUN-2025		X0708	D	LIVE		
0001988439-25-000002	021-550384               	30-JUN-2025		X0708	D	LIVE		
0002062763-25-000004	021-441632               	30-JUN-2025		X0708	D/A	LIVE		
0002075165-25-000001	021-550383               	30-JUN-2025		X0708	D	LIVE		
0002068768-25-000001	021-550382               	30-JUN-2025		X0708	D	LIVE		
0002062763-25-000003	021-441632               	30-JUN-2025		X0708	D/A	LIVE		
0001797297-25-000001	021-550381               	30-JUN-2025		X0708	D	LIVE		
0001428529-25-000002	021-550380               	30-JUN-2025	7370	X0708	D	LIVE		
0002027015-25-000002	021-517371               	30-JUN-2025		X0708	D/A	LIVE		
0002075073-25-000001	021-550379               	30-JUN-2025		X0708	D	LIVE		
0002075188-25-000001	021-550378               	30-JUN-2025		X0708	D	LIVE		
0002074445-25-000001	021-550377               	30-JUN-2025		X0708	D	LIVE		
0000950142-25-001727	021-433582               	30-JUN-2025		X0708	D/A	LIVE		
0001980221-25-000002	021-483634               	30-JUN-2025		X0708	D/A	LIVE		
0001983715-25-000001	021-485624               	30-JUN-2025		X0708	D/A	LIVE		
0002069699-25-000022	021-221684               	30-JUN-2025		X0708	D/A	LIVE		
0001935542-25-000002	021-450543               	30-JUN-2025		X0708	D/A	LIVE		
0001704211-25-000003	021-432024               	30-JUN-2025		X0708	D/A	LIVE		
0000950142-25-001726	021-550376               	30-JUN-2025		X0708	D	LIVE		
0001954925-25-000007	021-492337               	30-JUN-2025		X0708	D/A	LIVE		
0000950142-25-001725	021-550375               	30-JUN-2025		X0708	D	LIVE		
0002075116-25-000001	021-550374               	30-JUN-2025		X0708	D	LIVE		
0002075019-25-000001	021-550373               	30-JUN-2025		X0708	D	LIVE		
0002000091-25-000002	021-550372               	30-JUN-2025		X0708	D	LIVE		
0002017889-25-000002	021-550371               	30-JUN-2025		X0708	D	LIVE		
0001070480-25-000004	021-95234                	30-JUN-2025		X0708	D/A	LIVE		
0001935541-25-000002	021-450517               	30-JUN-2025		X0708	D/A	LIVE		
0001704211-25-000002	021-369236               	30-JUN-2025		X0708	D/A	LIVE		
0002075171-25-000001	021-550370               	30-JUN-2025		X0708	D	LIVE		
0001745397-25-000012	021-517396               	30-JUN-2025		X0708	D/A	LIVE		
0002028510-25-000001	021-517229               	30-JUN-2025		X0708	D/A	LIVE		
0002075216-25-000001	021-550369               	30-JUN-2025		X0708	D	LIVE		
0001070480-25-000003	021-79713                	30-JUN-2025		X0708	D/A	LIVE		
0002037468-25-000004	021-524263               	30-JUN-2025		X0708	D/A	LIVE		
0002074841-25-000001	021-550368               	30-JUN-2025		X0708	D	LIVE		
0001070480-25-000002	021-89903-7A             	30-JUN-2025		X0708	D/A	LIVE		
0000905148-25-002276	021-357156               	30-JUN-2025		X0708	D/A	LIVE		
0001704211-25-000001	021-285313               	30-JUN-2025		X0708	D/A	LIVE		
0002074897-25-000001	021-550367               	30-JUN-2025		X0708	D	LIVE		
0002074099-25-000002	021-550366               	30-JUN-2025		X0708	D	LIVE		
0001745397-25-000011	021-517375               	30-JUN-2025		X0708	D/A	LIVE		
0002062763-25-000002	021-541787               	30-JUN-2025		X0708	D/A	LIVE		
0002075013-25-000001	021-550365               	30-JUN-2025		X0708	D	LIVE		
0002032020-25-000001	021-550364               	30-JUN-2025	6282	X0708	D	LIVE		
0000905148-25-002275	021-380690               	30-JUN-2025		X0708	D/A	LIVE		
0002074468-25-000001	021-550363               	30-JUN-2025		X0708	D	LIVE		
0001213900-25-059609	021-550362               	30-JUN-2025		X0708	D	LIVE		
0001842180-25-000002	021-388276               	30-JUN-2025		X0708	D/A	LIVE		
