ACCESSIONNUMBER	INDUSTRYGROUPTYPE	INVESTMENTFUNDTYPE	IS40ACT	REVENUERANGE	AGGREGATENETASSETVALUERANGE	FEDERALEXEMPTIONS_ITEMS_LIST	ISAMENDMENT	PREVIOUSACCESSIONNUMBER	SALE_DATE	YETTOOCCUR	MORETHANONEYEAR	ISEQUITYTYPE	ISDEBTTYPE	ISOPTIONTOACQUIRETYPE	ISSECURITYTOBEACQUIREDTYPE	ISPOOLEDINVESTMENTFUNDTYPE	ISTENANTINCOMMONTYPE	ISMINERALPROPERTYTYPE	ISOTHERTYPE	DESCRIPTIONOFOTHERTYPE	ISBUSINESSCOMBINATIONTRANS	BUSCOMBCLARIFICATIONOFRESP	MINIMUMINVESTMENTACCEPTED	OVER100RECIPIENTFLAG	TOTALOFFERINGAMOUNT	TOTALAMOUNTSOLD	TOTALREMAINING	SALESAMTCLARIFICATIONOFRESP	HASNONACCREDITEDINVESTORS	NUMBERNONACCREDITEDINVESTORS	TOTALNUMBERALREADYINVESTED	SALESCOMM_DOLLARAMOUNT	SALESCOMM_ISESTIMATE	FINDERSFEE_DOLLARAMOUNT	FINDERSFEE_ISESTIMATE	FINDERFEECLARIFICATIONOFRESP	GROSSPROCEEDSUSED_DOLLARAMOUNT	GROSSPROCEEDSUSED_ISESTIMATE	GROSSPROCEEDSUSED_CLAROFRESP	AUTHORIZEDREPRESENTATIVE
0002074476-25-000001	Other			Decline to Disclose		06b	false			true	false								true	LLC Interests	false		0		1800000	0	1800000		false		0	0		0			0			false
0002075199-25-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06c, 3C, 3C.1	false		2025-06-16		true	true				true					false		50000		20000000	900000	19100000		false		10	0		0			0			false
0001999371-25-008565	REITS and Finance			Decline to Disclose		06b, 3C, 3C.5	false			true	true	true									false		25000		250000000	0	250000000	In any combination of Class FA shares, Class A shares, Class T shares, Class D shares, and Class I shares.	false		0	0	true	0	true	The issuer will pay up to the following percentages of the sales price for the sales of certain classes of shares: 8.5% for Class A, 4.75% for Class T. Class FA, Class D and Class I shares are not subject to any upfront sales load.	0	true		false
0002075352-25-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2025-06-16		false					true					false		0		10000000	1150000	8850000		false		4	0		0			0			false
0002068759-25-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	false			true	false	true				true					false		0		Indefinite	0	Indefinite		false		0	0	true	0	true	The amount of sales commissions and finders' fees are not yet known as the first sale is yet to occur.	0	true	The Issuer's confidential offering materials fully discuss fees due to the Investment Manager of the Issuer and the GP of the Issuer.	false
0001988439-25-000002	Other Technology			Decline to Disclose		06b	false		2025-06-24		false			true	true						false		0		100000	100000	0	The total offering amount and total amount sold represent the aggregate exercise price of certain warrants to purchase shares of capital stock of the Issuer.	false		1	0		0			0			false
0002062763-25-000004	Pooled Investment Fund	Hedge Fund	false		$1 - $5,000,000	06b, 3C, 3C.1	true	0001923478-25-000002	2022-05-04		true					true					false		25000		Indefinite	735000	Indefinite		false		16	0		0			0			false
0002075165-25-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	false			true	false	true				true					false		0		Indefinite	0	Indefinite		false		0	0		0			0	true		false
0002068768-25-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	false			true	false	true				true					false		0		Indefinite	0	Indefinite		false		0	0	true	0	true	The amount of sales commissions and finders' fees are not yet known as the first sale is yet to occur.	0	true	The Issuer's confidential offering materials fully discuss fees due to the Investment Manager of the Issuer and the GP of the Issuer.	false
0002062763-25-000003	Pooled Investment Fund	Hedge Fund	false		$1 - $5,000,000	06b, 3C, 3C.1	true	0001923478-25-000002	2022-05-04		true					true					false		25000		Indefinite	735000	Indefinite		false		16	0		0			0			false
0001797297-25-000001	Other Technology			$1 - $1,000,000		06c	false		2025-06-16		false	true									false		25000		9500000	100000	9400000		false		28	0		950000		The company will pay a 10% finders fee to qualified finders and broker/dealers. The finders fees of $950,000 assumes the company completes an offering of $9,500,000 and represents the maximum finders fees the company will pay in the offering.	850000	true	The company estimates that the gross proceeds for such purpose will be between $500,000 and $850,000.	false
0001428529-25-000002	Other			Decline to Disclose		06b	false		2025-04-25		false	true							true	Option, Warrant or Other Right to Acquire Another Security	false		0		21206562	14227951	6978611		false		12	0		0			0			false
0002027015-25-000002	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0001935541-24-000003	2024-07-31		true					true					false		1		Indefinite	270114243	Indefinite		false		89	0		0			0		Customary management fees are paid to New Holland Capital LLC, an entity controlled by certain persons listed in Item 3, as disclosed in the Issuer's offering documents.	false
0002075073-25-000001	Other			Decline to Disclose		06b	false		2025-06-18		false	true									false		499400		499400	499400	0		false		1	0		0			0			false
0002075188-25-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2025-06-12		false	true				true					false		50000		9225000	9225000	0		false		22	0		0			0			false
0002074445-25-000001	Other			Decline to Disclose		06b	false			true	false								true	LLC Interests	false		0		20000000	0	20000000		false		0	0		0			0			false
0000950142-25-001727	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000950142-25-000350	2022-02-01		true	true				true					false		1		Indefinite	120000000	Indefinite		false		2	0		0			0		The Issuer's confidential offering materials discuss management fees due to the investment adviser, which is an affiliate of the Issuer.	false
0001980221-25-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	true	0001980221-23-000002	2023-05-25		false	true				true					false		0		1755000	1755000	0		false		36	0		0			0			false
