ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0001140361-25-036812	YES	101	0001762715	Louisiana Dealer Services Insurance, Inc.	10543 S. GLENSTONE PLACE		Baton Rouge	LA	LOUISIANA	70810	225-768-6160	LOUISIANA							Corporation		overFiveYears	
0002031907-25-000002	YES	101	0002031907	Laminr Technologies, Inc.	28 W. 44TH STREET, SUITE 901		NEW YORK	NY	NEW YORK	10036	4157355933	DELAWARE							Corporation		withinFiveYears	2024
0002086384-25-000001	YES	101	0002086384	Twin Lux H Squared LLC	26823 ANTIQUE RD.		WOODHAVEN	MI	MICHIGAN	48183	734-752-3886	OHIO							Limited Liability Company		withinFiveYears	2025
0002088693-25-000001	YES	101	0002088693	Iris Senior MD Investors LLC	1104 6th Ave N		Great Falls	MT	MONTANA	59401	(406) 302-0027	TEXAS							Limited Liability Company		withinFiveYears	2025
0000919574-25-005901	YES	101	0002039074	Coatue Qualified Partners II LP	COATUE MANAGEMENT, L.L.C.	9 WEST 57TH STREET, 25TH FLOOR	NEW YORK	NY	NEW YORK	10019	212-715-5100	DELAWARE							Limited Partnership		withinFiveYears	2024
0000905148-25-003452	YES	101	0002087046	StepStone Peregrine Blocker Aggregator, L.P.	4225 Executive Square, Suite 1600		La Jolla	CA	CALIFORNIA	92037	858-558-9700	DELAWARE							Limited Partnership		withinFiveYears	2025
0002079785-25-000001	YES	101	0002079785	EquityZen Growth Technology Fund LLC - Series 2154	30 BROAD STREET	SUITE 1200	NEW YORK	NY	NEW YORK	1004	8774906121	DELAWARE							Limited Liability Company		withinFiveYears	2023
0000945621-25-000899	YES	101	0002085734	LaSalle Global Employee Co-Investment Fund B L.P., in solely in respect to Concentrated GPF Class A	C/O WALKERS CORPORATE LIMITED	190 ELGIN AVENUE, GEORGE TOWN	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9008	312-897-4000	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2025
0001621804-25-000002	YES	101	0001621804	Latticework Investors, LP	21850 SE 1ST ST		SAMMAMISH	WA	WASHINGTON	98074	425-836-2806	WASHINGTON							Limited Partnership		overFiveYears	
0002088932-25-000001	YES	101	0002088932	AC Arizona LLC	771 PARK CENTRE DRIVE		KERNERSVILLE	NC	NORTH CAROLINA	27284	8605938384	OHIO							Limited Liability Company		withinFiveYears	2025
0001983741-25-000002	YES	101	0001983741	Investcorp Strategic Capital Partners II-B, L.P.	INVESTCORP INVESTMENT ADVISERS LLC	280 PARK AVENUE, 39TH FLOOR	NEW YORK	NY	NEW YORK	10017	212-599-4700	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2023
0001470831-25-000243	YES	101	0002059452	CrossLayer Capital Fund II Feeder, L.P.	17 BUENA VISTA TERRACE		SAN FRANCISCO	CA	CALIFORNIA	94117	415-797-1670	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2025
0002070576-25-000003	YES	101	0002070576	Aphias Capital Fund I-A, L.P.	650 CALIFORNIA STREET, 21ST FLOOR		SAN FRANCISCO	CA	CALIFORNIA	94108	(415) 425-6124	DELAWARE							Limited Partnership		withinFiveYears	2025
0002088902-25-000001	YES	101	0002088902	Exp Eq Marina LLC	3521 STONE CLIFF WAY		WOODSTOCK	GA	GEORGIA	30189	6783134958	OHIO							Limited Liability Company		withinFiveYears	2025
0001964029-25-000002	YES	101	0001964029	KKR Asia Tactical Credit (Overseas) Fund SCSp	555 CALIFORNIA STREET	50TH FLOOR	SAN FRANCISCO	CA	CALIFORNIA	94104	415-315-3620	LUXEMBOURG							Other	Special  Limited Partnership	withinFiveYears	2022
0002070575-25-000003	YES	101	0002070575	Aphias Capital Fund I, L.P.	650 CALIFORNIA STREET, 21ST FLOOR		SAN FRANCISCO	CA	CALIFORNIA	94108	(415) 425-6124	DELAWARE							Limited Partnership		withinFiveYears	2025
0002035665-25-000002	YES	101	0002035665	Permira Strategic Opportunities SCSp	488, ROUTE DE LONGWY		LUXEMBOURG	N4	LUXEMBOURG	L-1940	352 26 86 811	LUXEMBOURG	Permira Credit Opportunities I SCSp						Limited Partnership		overFiveYears	
0001923092-25-000004	YES	101	0001923092	RunBuggy OMI, Inc.	740 SOUTH MILL AVENUE, SUITE 210		TEMPE	AZ	ARIZONA	85281	888-872-8449	DELAWARE	RunBuggy OMI, LLC						Corporation		overFiveYears	
0001825141-25-000002	YES	101	0001825141	BC BRIDGE DEBT WAREHOUSE II, LLC	1200 17TH STREET	SUITE 970	DENVER	CO	COLORADO	80202	3034597330	COLORADO							Limited Liability Company		withinFiveYears	2020
0001612920-25-000005	YES	101	0001612920	Oresund AlphaLife Partners, LP	1580 GRAND POINT WAY #33754		RENO	NV	NEVADA	89533	7752985263	DELAWARE							Limited Partnership		overFiveYears	
0001761140-25-000006	YES	101	0001761140	SkyBridge Opportunity Zone Real Estate Investment Trust, Inc.	527 MADISON AVENUE, 4TH FLOOR		NEW YORK	NY	NEW YORK	10022	212-485-3100	MARYLAND				SkyBridge-EJF Opportunity Zone Real Estate Investment Trust, Inc.			Corporation		overFiveYears	
0000950142-25-002579	YES	101	0002074450	Apollo IG Core Replacement, L.P.	9 WEST 57TH STREET	41ST FLOOR	NEW YORK	NY	NEW YORK	10019	(212) 515-3200	DELAWARE							Limited Partnership		withinFiveYears	2025
0001470831-25-000242	YES	101	0002059448	CrossLayer Capital Fund II, L.P.	17 BUENA VISTA TERRACE		SAN FRANCISCO	CA	CALIFORNIA	94117	415-797-1670	DELAWARE							Limited Partnership		withinFiveYears	2024
0002089474-25-000001	YES	101	0002089474	SEWP Co-Invest LP	2180 SAND HILL ROAD, SUITE 300		MENLO PARK	CA	CALIFORNIA	94025	(650) 289-2460	DELAWARE							Limited Partnership		withinFiveYears	2025
0001654954-25-011260	YES	101	0002085816	Legacy Gus-EFG, LP	1820 Preston Park Blvd	Suite 1650	Plano	TX	TEXAS	75093	(469) 543-0177	TEXAS							Limited Partnership		withinFiveYears	2025
0002089169-25-000001	YES	101	0002089169	534 Washington St., LLC	2700 S. BROADWAY, SUITE 200		ENGLEWOOD	CO	COLORADO	80113	(734) 945-9304	COLORADO							Limited Liability Company		withinFiveYears	2025
0002039954-25-000002	YES	101	0002039954	EquityZen Growth Technology Fund LLC - Series 1986	30 BROAD STREET	SUITE 1200	NEW YORK	NY	NEW YORK	10004	8774906121	DELAWARE							Limited Liability Company		withinFiveYears	2023
