ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0002119377-26-000001	YES	101	0002119377	MIP HPC Foreign Partners, L.P.	660 FIFTH AVENUE	LEVEL 14	NEW YORK	NY	NEW YORK	10103	212-231-1000	DELAWARE							Limited Partnership		withinFiveYears	2026
0001956900-26-000001	YES	101	0001956900	BG Holding Co LLC	4300 BALCONES DR		AUSTIN	TX	TEXAS	78731	407-467-2367	MISSOURI							Limited Liability Company		withinFiveYears	2022
0002119378-26-000001	YES	101	0002119378	MIP HPC Domestic Partners, L.P.	660 FIFTH AVENUE	LEVEL 14	NEW YORK	NY	NEW YORK	10103	212-231-1000	DELAWARE							Limited Partnership		withinFiveYears	2026
0001814554-26-000058	YES	101	0002124005	WH Strategic Growth Fund III, LP	1201 WILSON BOULEVARD, SUITE 2210		ARLINGTON	VA	VIRGINIA	22209	202-891-6206	DELAWARE							Limited Partnership		withinFiveYears	2026
0002125936-26-000001	YES	101	0002125936	Corsac Technologies Inc.	136 MOLIMO		SAN FRANCISCO	CA	CALIFORNIA	94127	9158334322	DELAWARE							Corporation		withinFiveYears	2026
0002114240-26-000003	YES	101	0002114240	L Squared Capital Partners V-EF LP	3434 VIA LIDO SUITE 300		NEWPORT BEACH	CA	CALIFORNIA	92663	9493980168	DELAWARE							Limited Partnership		withinFiveYears	2026
0002104990-26-000001	YES	101	0002104990	Centerbridge Keystone Fund, L.P.	375 PARK AVENUE	11TH FLOOR	NEW YORK	NY	NEW YORK	10152	212-672-5000	DELAWARE							Limited Partnership		withinFiveYears	2025
0001493152-26-014345	YES	101	0001994214	Nomadar Corp.	5015 HIGHWAY 59 N		MARSHALL	TX	TEXAS	76570	(323) 672-4566	DELAWARE				Sportech City USA, Corp.			Corporation		withinFiveYears	2023
0002125443-26-000001	YES	101	0002125443	Everview Residential Finance Holdings B, L.P.	600 FIFTH AVENUE, 20TH FLOOR		NEW YORK	NY	NEW YORK	10020	(917) 612-2919	DELAWARE							Limited Partnership		withinFiveYears	2025
0001493152-26-014343	YES	101	0001994214	Nomadar Corp.	5015 HIGHWAY 59 N		MARSHALL	TX	TEXAS	76570	(323) 672-4566	DELAWARE				Sportech City USA, Corp.			Corporation		withinFiveYears	2023
0002114243-26-000003	YES	101	0002114243	L Squared Capital Partners V-B LP	3434 VIA LIDO SUITE 300		NEWPORT BEACH	CA	CALIFORNIA	92663	9493980168	DELAWARE							Limited Partnership		withinFiveYears	2026
0002125436-26-000001	YES	101	0002125436	Everview Residential Finance Holdings A, L.P.	600 FIFTH AVENUE, 20TH FLOOR		NEW YORK	NY	NEW YORK	10020	(917) 612-2919	DELAWARE							Limited Partnership		withinFiveYears	2025
0002119262-26-000005	YES	101	0002119262	American Ventures LLC, Series XLVI DTCX	3835 PGA BLVD	SUITE 103	PALM BEACH GARDENS	FL	FLORIDA	33410	917.608.7234	DELAWARE							Limited Liability Company		withinFiveYears	2026
